title,episodes,mark,score,is_finish,series_follow,follows,coins,likes,danmus,views,area,count,season_type,season_id,media_id,link
我的女神 战斗之翼,全2话,,9.7,1,350234,52508,1674,3891,1941,682957,日本,227,1,5742,5742,https://www.bilibili.com/bangumi/play/ss5742
我是小甜甜,全52话,,9.7,1,27381,27381,1068,1773,10078,687256,日本,217,1,5600,5600,https://www.bilibili.com/bangumi/play/ss5600
宇宙兄弟#0,全1话,会员专享,9.7,1,90112,8143,391,4889,399,61500,日本,112,1,5571,28233695,https://www.bilibili.com/bangumi/play/ss5571?theme=movie
奇异太郎少年的妖怪绘日记,全12话,独家,9.7,1,947786,947786,39524,58777,72275,21290990,日本,4342,1,5556,5556,https://www.bilibili.com/bangumi/play/ss5556
怪盗Joker 第四季,全13话,,9.7,1,131623,55384,5820,11021,53977,2850099,日本,560,1,5545,5545,https://www.bilibili.com/bangumi/play/ss5545
编舟记,全11话,,9.7,1,263143,263143,21846,7023,49919,2986069,日本,2819,1,5516,5516,https://www.bilibili.com/bangumi/play/ss5516
刀剑乱舞-花丸-,全12话,,9.7,1,1418781,1418780,70824,47442,1133850,27669525,日本,4476,1,5515,5515,https://www.bilibili.com/bangumi/play/ss5515
女神异闻录3 剧场版 #4 Winter of Rebirth,全1话,会员专享,9.7,1,269010,105224,7050,6470,39131,3034954,日本,917,1,5500,5500,https://www.bilibili.com/bangumi/play/ss5500?theme=movie
乌龙派出所特别篇2016：THE FINAL 两津勘吉最后的一天,全1话,,9.7,1,152189,19543,2519,2438,4954,676963,日本,309,1,5499,5499,https://www.bilibili.com/bangumi/play/ss5499
天体的秩序SP,全1话,,9.7,1,765968,84349,5459,5274,9153,539230,日本,800,1,5488,5488,https://www.bilibili.com/bangumi/play/ss5488
闪电十一人 第三季 日语,全60话,,9.7,1,68832,18833,1551,1615,49492,1867166,日本,340,1,5468,5468,https://www.bilibili.com/bangumi/play/ss5468
闪电十一人 第二季 日语,全41话,,9.7,1,68832,14838,1119,1248,39403,1313997,日本,250,1,5467,5467,https://www.bilibili.com/bangumi/play/ss5467
闪电十一人,全127话,,9.7,1,68832,41007,4266,12252,81285,4509143,日本,620,1,5466,5466,https://www.bilibili.com/bangumi/play/ss5466
